Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Marcus Camby,44:00:00,3,13,0.231,0,0,0,2,2,1,3,15,18,2,0,4,0,5,8,3,NYK,20010422
Allan Houston,40:00:00,9,16,0.563,1,1,1,4,4,1,0,2,2,0,0,0,2,1,23,12,NYK,20010422
Kurt Thomas,39:00:00,7,12,0.583,0,0,0,3,5,0.6,3,10,13,0,0,1,1,6,17,11,NYK,20010422
Latrell Sprewell,39:00:00,4,12,0.333,0,1,0,5,6,0.833,1,4,5,2,1,0,3,0,13,4,NYK,20010422
Mark Jackson,26:00:00,5,11,0.455,0,2,0,1,1,1,1,1,2,6,0,0,1,1,11,-1,NYK,20010422
Charlie Ward,22:00,2,7,0.286,1,3,0.333,4,4,1,0,0,0,2,1,0,1,1,9,8,NYK,20010422
Glen Rice,18:00,2,6,0.333,0,0,0,3,4,0.75,0,1,1,1,1,0,1,2,7,1,NYK,20010422
Othella Harrington,12:00,1,3,0.333,0,0,0,2,2,1,2,2,4,1,1,0,1,1,4,-3,NYK,20010422
Jason Kidd,44:00:00,7,19,0.368,1,4,0.25,3,4,0.75,3,3,6,14,1,0,6,3,18,2,PHO,20010422
Shawn Marion,41:00:00,9,16,0.563,0,0,0,3,5,0.6,1,9,10,1,1,3,2,3,21,11,PHO,20010422
Clifford Robinson,34:00:00,6,14,0.429,2,4,0.5,2,3,0.667,1,2,3,3,2,1,5,4,16,7,PHO,20010422
Mario Elie,30:00:00,4,9,0.444,1,4,0.25,0,0,0,0,7,7,3,2,0,0,4,9,1,PHO,20010422
Jake Tsakalidis,19:00,0,4,0,0,0,0,0,0,0,4,7,11,0,0,2,0,3,0,1,PHO,20010422
Rodney Rogers,26:00:00,8,18,0.444,1,4,0.25,1,2,0.5,1,5,6,1,1,2,1,5,18,4,PHO,20010422
Tony Delk,22:00,1,2,0.5,0,0,0,0,2,0,1,2,3,0,2,0,1,0,2,-5,PHO,20010422
Tom Gugliotta,20:00,1,5,0.2,0,0,0,0,0,0,0,2,2,0,3,1,1,1,2,-7,PHO,20010422
Vinny Del Negro,4:00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,PHO,20010422
Chris Webber,43:00:00,12,32,0.375,0,0,0,3,5,0.6,10,5,15,2,0,0,7,4,27,-6,SAC,20010422
Doug Christie,43:00:00,2,6,0.333,1,2,0.5,2,2,1,1,7,8,5,2,1,4,3,7,-4,SAC,20010422
Peja Stojakovic,38:00:00,5,17,0.294,1,1,1,2,2,1,3,7,10,0,2,0,2,1,13,-6,SAC,20010422
Vlade Divac,35:00:00,3,11,0.273,0,0,0,7,9,0.778,3,5,8,4,2,0,1,2,13,-8,SAC,20010422
Jason Williams,28:00:00,4,9,0.444,2,6,0.333,0,0,0,0,3,3,5,2,0,3,2,10,-1,SAC,20010422
Bobby Jackson,20:00,3,8,0.375,0,1,0,0,0,0,2,1,3,1,1,0,1,0,6,-2,SAC,20010422
Scot Pollard,15:00,3,4,0.75,0,0,0,1,3,0.333,2,2,4,0,0,1,0,2,7,2,SAC,20010422
Hedo Turkoglu,13:00,0,5,0,0,1,0,0,0,0,0,3,3,0,0,0,0,2,0,9,SAC,20010422
Jon Barry,5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SAC,20010422
